Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
88.5117,0.009216934,0.1587662,0.3858113,-0.6004817,0.368744,0.6079727
88.52814,0.009251954,0.1591428,0.3871385,-0.6001665,0.3692603,0.6075734
88.54018,0.009262514,0.159153,0.38771,-0.5997082,0.3701353,0.6068948
88.55354,0.009262514,0.159153,0.38771,-0.5997082,0.3701353,0.6068948
88.56685,0.009224812,0.1589464,0.3880538,-0.5994202,0.3708109,0.6063208
88.58166,0.009252946,0.1584965,0.3882998,-0.5994233,0.3710294,0.6059463
88.5955,0.009252946,0.1584965,0.3882998,-0.5994233,0.3710294,0.6059463
88.60879,0.009327027,0.1578035,0.3884375,-0.5996673,0.3708693,0.6057501
88.62344,0.009358658,0.1569149,0.3884739,-0.6001005,0.370474,0.6056818
88.63715,0.009358658,0.1569149,0.3884739,-0.6001005,0.370474,0.6056818
88.6505,0.00958392,0.1558745,0.3884203,-0.600639,0.3697552,0.6057538
88.66508,0.00937181,0.1550434,0.38901,-0.6012326,0.3702058,0.6053991
88.67912,0.00937181,0.1550434,0.38901,-0.6012326,0.3702058,0.6053991
88.69234,0.008928096,0.1543234,0.3893187,-0.601677,0.370983,0.604882
88.70685,0.008407385,0.1537094,0.3895561,-0.6020824,0.3717422,0.6044037
88.72118,0.007855284,0.1531351,0.3897418,-0.6024796,0.3723971,0.6040161
88.73493,0.007855284,0.1531351,0.3897418,-0.6024796,0.3723971,0.6040161
88.74809,0.006786908,0.1530615,0.3906126,-0.6027022,0.3745323,0.6031265
88.76266,0.005589549,0.1533551,0.3913127,-0.6026414,0.3769735,0.602074
88.7767,0.005589549,0.1533551,0.3913127,-0.6026414,0.3769735,0.602074
88.78999,0.004525403,0.1538105,0.3918746,-0.6024277,0.379326,0.6010332
88.80451,0.003006701,0.1547394,0.3930197,-0.6019882,0.383127,0.5995174
88.81836,0.003006701,0.1547394,0.3930197,-0.6019882,0.383127,0.5995174
88.8316,0.001438108,0.1563386,0.3941556,-0.6011966,0.3872051,0.597794
88.84641,7.215465E-05,0.1582723,0.395197,-0.6001948,0.3911864,0.5960177
88.86034,-0.001080902,0.1600904,0.3959835,-0.5991649,0.3948182,0.5943434
88.87435,-0.001080902,0.1600904,0.3959835,-0.5991649,0.3948182,0.5943434
88.88733,-0.00271483,0.1620465,0.3971816,-0.5980474,0.3997114,0.5923214
88.90174,-0.004381504,0.1643578,0.398268,-0.5967364,0.4045954,0.5902127
88.91584,-0.004381504,0.1643578,0.398268,-0.5967364,0.4045954,0.5902127
88.92923,-0.005822579,0.1665248,0.3990661,-0.5954308,0.4090421,0.5882086
88.94377,-0.007743892,0.1687727,0.4002049,-0.5940706,0.4146829,0.5858902
88.95778,-0.007743892,0.1687727,0.4002049,-0.5940706,0.4146829,0.5858902
88.97088,-0.009668902,0.1713198,0.4012124,-0.59256,0.4201896,0.5835139
88.98543,-0.01133157,0.1736818,0.4019282,-0.5911006,0.4251484,0.5812659
88.9994,-0.01133157,0.1736818,0.4019282,-0.5911006,0.4251484,0.5812659
89.01373,-0.01347448,0.1760888,0.4029367,-0.5896124,0.4312525,0.5787385
89.02734,-0.01560439,0.178763,0.4038167,-0.5880024,0.4371391,0.5761696
89.04126,-0.01744422,0.1812364,0.4044156,-0.586473,0.4424087,0.5737389
89.0551,-0.01744422,0.1812364,0.4044156,-0.586473,0.4424087,0.5737389
89.06821,-0.0190106,0.1833231,0.4047753,-0.5851482,0.4469398,0.5715675
89.08349,-0.02109866,0.1854278,0.4054553,-0.5838335,0.4526087,0.5691866
89.09707,-0.02109866,0.1854278,0.4054553,-0.5838335,0.4526087,0.5691866
89.11004,-0.02320431,0.1878409,0.4060929,-0.5823921,0.4580896,0.5667632
89.12472,-0.02502408,0.1901225,0.4065107,-0.5810095,0.4630101,0.5644438
89.13871,-0.02502408,0.1901225,0.4065107,-0.5810095,0.4630101,0.5644438
89.1521,-0.02733812,0.1924757,0.4071443,-0.5795746,0.4691297,0.5618482
89.16641,-0.02965439,0.1950988,0.4076873,-0.5780207,0.4750264,0.559183
89.18055,-0.0316618,0.1975456,0.4079906,-0.5765592,0.4802983,0.5566254
89.19445,-0.0316618,0.1975456,0.4079906,-0.5765592,0.4802983,0.5566254
89.2075,-0.03337825,0.1996159,0.4080897,-0.575313,0.4848281,0.5543138
89.22557,-0.03561761,0.2016934,0.4084116,-0.5740635,0.490513,0.55182
89.2361,-0.03561761,0.2016934,0.4084116,-0.5740635,0.490513,0.55182
89.24872,-0.03790077,0.2040592,0.4087261,-0.5726932,0.4960023,0.5492747
89.26333,-0.03988406,0.2063125,0.4088628,-0.5713893,0.5009218,0.5468184
89.27727,-0.03988406,0.2063125,0.4088628,-0.5713893,0.5009218,0.5468184
89.29085,-0.04234402,0.2086364,0.4091131,-0.5700216,0.5070332,0.5441019
89.30502,-0.0448361,0.2112115,0.4093095,-0.5685448,0.5129198,0.5413018
89.31921,-0.0448361,0.2112115,0.4093095,-0.5685448,0.5129198,0.5413018
89.33234,-0.04700931,0.2136283,0.4093086,-0.5671691,0.5181752,0.538594
89.34686,-0.04887422,0.2156794,0.4091429,-0.5660126,0.522687,0.5361306
89.36105,-0.05122903,0.2177257,0.4090913,-0.5648414,0.5283246,0.5335134
89.37488,-0.05122903,0.2177257,0.4090913,-0.5648414,0.5283246,0.5335134
89.38823,-0.053665,0.2200321,0.4090687,-0.5635552,0.5337726,0.5308427
89.40262,-0.0557962,0.2222458,0.4089152,-0.5623382,0.5386522,0.5282521
89.41669,-0.0557962,0.2222458,0.4089152,-0.5623382,0.5386522,0.5282521
89.43057,-0.05835871,0.2245312,0.4087658,-0.5610487,0.5446785,0.5254161
89.44473,-0.06099369,0.2270411,0.4085999,-0.5596591,0.5504917,0.5224881
89.45879,-0.06099369,0.2270411,0.4085999,-0.5596591,0.5504917,0.5224881
89.47179,-0.0633093,0.2294121,0.4082848,-0.5583736,0.5556802,0.5196425
89.48649,-0.06530131,0.2314311,0.407845,-0.5573049,0.5601301,0.517043
89.50051,-0.06772272,0.2334366,0.4074052,-0.5562149,0.5656404,0.5143136
89.5143,-0.06772272,0.2334366,0.4074052,-0.5562149,0.5656404,0.5143136
89.52766,-0.0702714,0.235666,0.4070319,-0.5550179,0.5709796,0.5115331
89.54216,-0.07252125,0.2378222,0.4065775,-0.5538874,0.5757643,0.5088282
89.55618,-0.07252125,0.2378222,0.4065775,-0.5538874,0.5757643,0.5088282
89.5697,-0.07513526,0.2400559,0.4060175,-0.5526814,0.5816193,0.5058862
89.58391,-0.07786955,0.2424811,0.4054751,-0.5513833,0.5872839,0.5028489
