Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
89.76653,0.1873017,-0.1210733,0.6460876,-0.0457203,0.9873946,-0.1315876
89.78233,0.1873034,-0.1210762,0.6460959,-0.04574057,0.9873943,-0.1315841
89.79408,0.1873052,-0.121083,0.646102,-0.04573528,0.9873964,-0.1315809
89.8073,0.1873019,-0.1210863,0.6461141,-0.04572999,0.9873999,-0.1315836
89.82243,0.1872938,-0.121093,0.6461244,-0.0457389,0.9874032,-0.1315765
89.83592,0.1872852,-0.1210971,0.6461353,-0.04575777,0.987408,-0.1315584
89.84924,0.1872798,-0.121098,0.6461426,-0.04579534,0.9874124,-0.1315327
89.86372,0.1872787,-0.1210973,0.6461485,-0.04581927,0.9874153,-0.1315001
89.87767,0.1872803,-0.1210995,0.6461461,-0.04581594,0.9874165,-0.1314892
89.89099,0.1872812,-0.1211074,0.6461378,-0.04581002,0.9874191,-0.1314781
89.90542,0.1872772,-0.1211213,0.6461297,-0.04580354,0.9874237,-0.1314663
89.91961,0.1872692,-0.1211398,0.6461143,-0.04586981,0.9874254,-0.1314557
89.93285,0.1872653,-0.121155,0.6461021,-0.04596051,0.987422,-0.1314415
89.94733,0.1872664,-0.1211517,0.6460875,-0.04597852,0.9874216,-0.1314225
89.96144,0.1872714,-0.1211492,0.646073,-0.04588876,0.9874257,-0.1314266
89.97521,0.1872635,-0.1211395,0.6460683,-0.04577942,0.9874324,-0.1314561
89.98861,0.1872449,-0.1211224,0.6460681,-0.04575295,0.9874367,-0.1314611
90.00307,0.1872175,-0.1211082,0.6460744,-0.04584084,0.9874408,-0.1314307
90.01702,0.1871963,-0.1211087,0.6460904,-0.04601216,0.9874451,-0.1313741
90.03045,0.187185,-0.1211049,0.6461076,-0.04610419,0.9874507,-0.1313122
90.04491,0.1871902,-0.1211163,0.6461015,-0.04611053,0.9874521,-0.1312886
90.05898,0.1872084,-0.1211384,0.646089,-0.04603035,0.9874451,-0.1313336
90.07214,0.1872272,-0.1211546,0.6460854,-0.04592279,0.9874379,-0.1313964
90.08662,0.1872312,-0.1211449,0.6461111,-0.04588477,0.9874303,-0.1314516
90.10072,0.1872337,-0.1211313,0.6461376,-0.04593406,0.9874257,-0.1314505
90.11467,0.1872306,-0.121128,0.6461315,-0.04599822,0.9874258,-0.1314134
90.12803,0.1872267,-0.1211195,0.6461202,-0.0460632,0.9874282,-0.1313674
90.14235,0.1872211,-0.1210995,0.6461221,-0.04606618,0.9874345,-0.1313122
90.15643,0.1872194,-0.1210819,0.6461339,-0.04605226,0.9874357,-0.1313009
90.16965,0.1872151,-0.1210652,0.6461481,-0.04600989,0.9874342,-0.1313111
90.18417,0.1871957,-0.1210388,0.6461678,-0.04599711,0.9874306,-0.1313273
90.1983,0.1871714,-0.1210138,0.6461922,-0.04601575,0.9874275,-0.1313466
90.21136,0.1871607,-0.1210147,0.6462009,-0.04604666,0.9874281,-0.1313327
90.22589,0.18716,-0.1210303,0.6462008,-0.04606459,0.9874249,-0.1313477
90.24001,0.1871585,-0.1210366,0.6461999,-0.04607168,0.9874195,-0.1313905
90.25378,0.1871621,-0.1210282,0.646207,-0.04607627,0.9874079,-0.1314224
90.2672,0.1871737,-0.1210192,0.6462143,-0.04604537,0.9873959,-0.1314763
90.28155,0.1871649,-0.1209588,0.6462924,-0.04602904,0.9873862,-0.1315135
90.29552,0.1871595,-0.1208939,0.6463724,-0.04603754,0.9873774,-0.1315398
90.30902,0.1871745,-0.1208486,0.6464291,-0.04601057,0.9873745,-0.1315341
90.3233,0.1872135,-0.120835,0.6464528,-0.0459074,0.98737,-0.1315588
90.33747,0.1872536,-0.1208238,0.6464691,-0.04576401,0.9873626,-0.1316215
90.35079,0.1872966,-0.1208322,0.6464727,-0.04563453,0.9873525,-0.1316959
90.36522,0.1873288,-0.1208504,0.6464719,-0.04556013,0.9873363,-0.1318249
90.37917,0.1873377,-0.1208629,0.64647,-0.04554206,0.9873267,-0.1319048
90.39249,0.1873327,-0.1208747,0.646467,-0.04556077,0.9873163,-0.131971
90.40709,0.1872998,-0.1208475,0.6464837,-0.04559056,0.9873145,-0.1319961
90.42098,0.1872528,-0.1208017,0.6465095,-0.04561814,0.9873223,-0.1319594
90.4349,0.1871787,-0.1207334,0.6465479,-0.04565068,0.9873383,-0.1318766
90.44833,0.1871281,-0.1206959,0.6465665,-0.04567983,0.9873525,-0.1318249
90.46272,0.1870811,-0.1206715,0.6465909,-0.04573501,0.987357,-0.1318159
90.47691,0.1870312,-0.1206598,0.6466064,-0.04581035,0.9873521,-0.1318509
90.49008,0.1869824,-0.1206551,0.6466183,-0.04587515,0.9873424,-0.1319092
90.50453,0.1869465,-0.1206475,0.6466382,-0.04589584,0.9873379,-0.1319581
90.51856,0.1869091,-0.1206269,0.6466749,-0.04587415,0.9873405,-0.1319996
90.53191,0.1868776,-0.1205914,0.6467189,-0.04585828,0.9873469,-0.1319966
90.54639,0.186876,-0.1205871,0.6467261,-0.04586018,0.9873509,-0.1319728
90.5605,0.1868868,-0.1205871,0.646731,-0.04583548,0.9873527,-0.1319498
90.5743,0.1869037,-0.1205858,0.6467338,-0.04577831,0.9873497,-0.1319689
90.5876,0.186921,-0.120582,0.6467366,-0.04569129,0.9873464,-0.1320059
90.60213,0.1869324,-0.1205752,0.6467394,-0.04565702,0.9873397,-0.1320553
90.61608,0.1869311,-0.1205415,0.6467799,-0.04564971,0.987331,-0.1320971
90.62938,0.1869283,-0.1205066,0.6468189,-0.04559613,0.9873267,-0.1321231
90.64386,0.1869297,-0.1204781,0.6468399,-0.04552033,0.9873236,-0.1321786
90.65772,0.186929,-0.1204538,0.6468509,-0.04543534,0.987326,-0.1322108
90.671,0.1869214,-0.1204308,0.6468648,-0.0453633,0.9873295,-0.1322228
90.68565,0.1869007,-0.120421,0.6468831,-0.04533564,0.9873297,-0.1322555
90.69955,0.1868743,-0.120414,0.6469014,-0.04534368,0.9873313,-0.1322631
90.71286,0.1868462,-0.1204148,0.6469103,-0.04538917,0.9873301,-0.1322843
90.72727,0.1868297,-0.1204069,0.6469128,-0.04541305,0.9873345,-0.1322864
90.74129,0.1868311,-0.1203949,0.646909,-0.0452774,0.9873373,-0.1323018
90.75522,0.1868387,-0.1203853,0.6469036,-0.04512317,0.9873394,-0.1323134
90.76853,0.1868314,-0.1203668,0.6469128,-0.0450009,0.9873405,-0.1323693
90.783,0.1867738,-0.1202634,0.6469928,-0.04496285,0.9873391,-0.1324217
90.79694,0.1866976,-0.1201288,0.6471033,-0.04502165,0.9873327,-0.1324514
90.81029,0.1866809,-0.1201028,0.6471306,-0.04508653,0.9873245,-0.1324715
90.82477,0.1866951,-0.1201173,0.6471213,-0.04509894,0.9873183,-0.1324913
90.83878,0.1867096,-0.1201009,0.6471328,-0.0448527,0.9873279,-0.1325075
90.85201,0.1867074,-0.1200611,0.6471542,-0.04459361,0.9873465,-0.1325392
