Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
146.961,-0.01120705,0.1277991,0.8486955,0.3104405,0.28841,0.3431056
146.9766,-0.01115166,0.1278019,0.8487276,0.310415,0.2883256,0.3432367
146.9877,-0.01108158,0.1277902,0.8487804,0.3104996,0.2882088,0.3434497
147.0021,-0.01102701,0.1277992,0.8488345,0.3104632,0.2880823,0.3435539
147.0161,-0.01097042,0.1278504,0.8489184,0.3103021,0.2879186,0.3435876
147.0295,-0.01092593,0.1279384,0.8490095,0.3100183,0.287719,0.3435321
147.0443,-0.01090249,0.1280015,0.8490824,0.3098814,0.2875718,0.3435598
147.0581,-0.01088583,0.1280488,0.8491418,0.3098519,0.2874589,0.3436452
147.0712,-0.01087026,0.1281128,0.8492147,0.3098628,0.2872789,0.3439504
147.086,-0.0108661,0.1281694,0.8492703,0.309902,0.2871749,0.3441723
147.0998,-0.01087179,0.1282343,0.8493336,0.3099391,0.2870103,0.3442248
147.1132,-0.01092567,0.1283246,0.8494101,0.3099609,0.286709,0.3444254
147.1277,-0.01107138,0.1285175,0.8495262,0.3096545,0.2862901,0.3449981
147.1418,-0.01124301,0.1288821,0.8496355,0.3090531,0.285828,0.3448092
147.1555,-0.01138425,0.1295203,0.8497397,0.3079377,0.2854201,0.3439737
147.1689,-0.01155988,0.1300668,0.8498327,0.3067274,0.2853198,0.3441851
147.1836,-0.01172021,0.1305371,0.8498801,0.3058724,0.285496,0.3450082
147.1974,-0.01175621,0.1308612,0.8499121,0.3057408,0.2855645,0.3453233
147.2107,-0.0118077,0.1310377,0.8499042,0.306058,0.2855442,0.3454552
147.2253,-0.01191025,0.1313375,0.8499389,0.3064694,0.2852679,0.3458987
147.2393,-0.01209367,0.1316846,0.8499973,0.3071786,0.2847572,0.3466756
147.2526,-0.01226326,0.1320352,0.8500604,0.3078025,0.2840148,0.3471439
147.267,-0.01243132,0.1325522,0.8501027,0.3083182,0.2832521,0.3471654
147.2811,-0.01253061,0.1333177,0.8500926,0.3084802,0.2826067,0.3466395
147.295,-0.01262892,0.1344465,0.849983,0.3086274,0.2822581,0.3455351
147.3083,-0.01258214,0.1357497,0.8498477,0.3084113,0.2830672,0.3444411
147.3229,-0.0126304,0.1369964,0.8497502,0.3089052,0.2838381,0.3431712
147.3369,-0.01267518,0.1383387,0.8496446,0.3099818,0.2838339,0.3420539
147.3501,-0.0128388,0.1398839,0.8496284,0.3108768,0.2836026,0.3421444
147.3645,-0.0130953,0.1415455,0.8496208,0.3108857,0.2833956,0.3429241
147.3788,-0.01330459,0.143638,0.8496233,0.3112406,0.2827733,0.3431877
147.3921,-0.01347952,0.145993,0.849678,0.3118774,0.282685,0.3430305
147.4063,-0.01357905,0.1485786,0.8497931,0.3125978,0.2830213,0.3427787
147.4203,-0.01341075,0.1519485,0.8499165,0.312435,0.2845785,0.3418832
147.4343,-0.01314601,0.1555329,0.8498715,0.3117778,0.2870746,0.3404291
147.4475,-0.01290048,0.1592925,0.8498383,0.3112061,0.2900508,0.3386086
147.4622,-0.01285034,0.1632626,0.8496048,0.3101374,0.2929444,0.3369748
147.4762,-0.01299199,0.1673687,0.849385,0.3091907,0.2949168,0.3356858
147.4892,-0.01326919,0.1713965,0.8491641,0.3086852,0.2955824,0.3350461
147.5043,-0.0136379,0.1755612,0.8491241,0.3098291,0.2956456,0.3347701
147.5179,-0.01402188,0.1799859,0.8489844,0.3080198,0.2967278,0.336399
147.5311,-0.01418784,0.1844522,0.8489959,0.3084142,0.2977494,0.3369357
147.5455,-0.01415735,0.1891768,0.8490174,0.3104091,0.2991806,0.3358436
147.5595,-0.01432544,0.1941993,0.8490286,0.308208,0.3012491,0.3363597
147.5727,-0.01453361,0.1991214,0.8490549,0.3066194,0.3033032,0.3376137
147.5872,-0.01465984,0.2040304,0.849334,0.3077828,0.3048749,0.3366507
147.6015,-0.01480567,0.2090076,0.8495582,0.3079532,0.305959,0.3344772
147.6152,-0.01517798,0.2140448,0.8496407,0.3064133,0.3063538,0.3332123
147.6284,-0.01550635,0.2190534,0.8497568,0.3056338,0.3064971,0.3349628
147.6431,-0.01562002,0.2242237,0.8499293,0.3071365,0.3085274,0.3360768
147.657,-0.01535577,0.2299616,0.8502703,0.3057042,0.3107202,0.3346346
147.6705,-0.01530102,0.2355857,0.8502522,0.3023342,0.3138066,0.3341299
147.6849,-0.01507615,0.2412871,0.8505014,0.3011895,0.3175724,0.3323576
147.6989,-0.0148565,0.2472149,0.8509362,0.2988233,0.3209981,0.3294909
147.7123,-0.014951,0.2528449,0.8509456,0.294533,0.3233959,0.3279442
147.7266,-0.01488772,0.258432,0.851299,0.2934105,0.3262175,0.3257815
147.7408,-0.01513531,0.2640562,0.8517122,0.2900197,0.3278182,0.3227364
147.7545,-0.01462952,0.2698542,0.8515049,0.2872916,0.3299332,0.3206585
147.7679,-0.01448678,0.2755328,0.8517967,0.285171,0.3350274,0.3202332
147.7823,-0.01428469,0.2813893,0.8521617,0.2808809,0.3395275,0.3223243
147.7963,-0.01413012,0.2870603,0.852541,0.2774866,0.3447822,0.3246915
147.8099,-0.01398321,0.2927237,0.8528903,0.2745242,0.3504034,0.3268533
147.8243,-0.01357554,0.2986048,0.8532914,0.2714395,0.3551804,0.3266921
147.8388,-0.01340114,0.3042089,0.8533365,0.2671008,0.3602991,0.3282292
147.8515,-0.01311555,0.3098269,0.8536259,0.2639171,0.3666276,0.330158
147.866,-0.01283487,0.3154451,0.8538343,0.2602063,0.3732851,0.3334225
147.8802,-0.01261409,0.3210536,0.8540211,0.2567864,0.380538,0.3368513
147.895,-0.01236828,0.3266846,0.854225,0.253013,0.3877348,0.3398308
147.9073,-0.01209823,0.3322182,0.8542545,0.2487564,0.3950699,0.3421986
147.9214,-0.01174112,0.3375718,0.8541515,0.2450491,0.4027162,0.3451676
147.9356,-0.01141046,0.3428717,0.8540106,0.2418217,0.4112279,0.3505568
147.9492,-0.01111349,0.3483471,0.8538303,0.2381023,0.4213581,0.3582467
147.9724,-0.01075233,0.3537826,0.8536347,0.2341892,0.4307972,0.3639745
147.9789,-0.01052741,0.3591525,0.8534279,0.2296504,0.4404462,0.3693339
147.9882,-0.01041863,0.3644947,0.8531083,0.2241013,0.4497604,0.3732879
148.0017,-0.01044407,0.3695564,0.8528389,0.2186031,0.4578838,0.3763344
148.0156,-0.01053103,0.3743798,0.8524497,0.2139673,0.4652152,0.3795371
148.0293,-0.01048709,0.379124,0.8520339,0.2107718,0.4726875,0.3845388
148.0438,-0.01043312,0.3839795,0.851768,0.2076582,0.4816292,0.3925717
148.0579,-0.0103016,0.3890337,0.8513523,0.20355,0.4918986,0.4020191
148.0716,-0.01033298,0.3939264,0.8507441,0.1986931,0.5028498,0.4083676
148.0858,-0.0103048,0.3985625,0.8500742,0.19405,0.5109774,0.409762
148.1001,-0.01018512,0.4030563,0.8494449,0.189848,0.5187814,0.41253
148.114,-0.0101773,0.4075078,0.8488082,0.1864387,0.5273617,0.4182675
148.1275,-0.01027039,0.4119062,0.8481885,0.1827669,0.5368621,0.4263776
148.1422,-0.01031321,0.41633,0.8473414,0.1784576,0.5461879,0.4336157
148.1562,-0.01010255,0.4208053,0.8463206,0.1740856,0.5554186,0.4387843
148.1696,-0.01003714,0.4250267,0.8452351,0.1699341,0.5651907,0.4416588
148.184,-0.009779219,0.4290691,0.8440664,0.1670176,0.5738761,0.4426947
148.1981,-0.009575311,0.4329402,0.8429315,0.1649067,0.5825544,0.4462014
148.2115,-0.009525508,0.4368456,0.8419616,0.163657,0.592443,0.453344
148.2259,-0.009552479,0.4407659,0.840811,0.1613059,0.601853,0.4600891
148.2401,-0.009449646,0.4449491,0.8394523,0.1578725,0.611181,0.4658413
148.2538,-0.009467978,0.4489032,0.8378885,0.1534204,0.6207182,0.4702609
