Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
89.76653,0.009181845,0.1453148,0.3868971,-0.6077898,0.361996,0.6074752
89.78233,0.009181845,0.1453148,0.3868971,-0.6077898,0.361996,0.6074752
89.79408,0.009181845,0.1453148,0.3868971,-0.6077898,0.361996,0.6074752
89.8073,0.009181845,0.1453148,0.3868971,-0.6077898,0.361996,0.6074752
89.82243,0.009181845,0.1453148,0.3868971,-0.6077898,0.361996,0.6074752
89.83592,0.009181845,0.1453148,0.3868971,-0.6077898,0.361996,0.6074752
89.84924,0.009181845,0.1453148,0.3868971,-0.6077898,0.361996,0.6074752
89.86372,0.009181845,0.1453148,0.3868971,-0.6077898,0.361996,0.6074752
89.87767,0.009181845,0.1453148,0.3868971,-0.6077898,0.361996,0.6074752
89.89099,0.009181845,0.1453148,0.3868971,-0.6077898,0.361996,0.6074752
89.90542,0.009181845,0.1453148,0.3868971,-0.6077898,0.361996,0.6074752
89.91961,0.009181845,0.1453148,0.3868971,-0.6077898,0.361996,0.6074752
89.93285,0.008813208,0.147461,0.3892469,-0.6068653,0.3641757,0.6070753
89.94733,0.008457209,0.1501475,0.391161,-0.6050474,0.367238,0.6064342
89.96144,0.008313339,0.1529122,0.3927132,-0.6028611,0.3704011,0.6057793
89.97521,0.008313339,0.1529122,0.3927132,-0.6028611,0.3704011,0.6057793
89.98861,0.00783516,0.1579863,0.3963593,-0.5995027,0.3759141,0.6046541
90.00307,0.0075086,0.1634483,0.3992556,-0.5952529,0.3820591,0.6032984
90.01702,0.0075086,0.1634483,0.3992556,-0.5952529,0.3820591,0.6032984
90.03045,0.007486465,0.1687212,0.4015419,-0.5907989,0.3879405,0.6019682
90.04491,0.007668169,0.1735325,0.4033464,-0.5865248,0.3932381,0.6007595
90.05898,0.007668169,0.1735325,0.4033464,-0.5865248,0.3932381,0.6007595
90.07214,0.007442232,0.1803517,0.4070375,-0.5814073,0.4005195,0.5991309
90.08662,0.007350272,0.1872652,0.4098589,-0.5756912,0.408041,0.597287
90.10072,0.007534971,0.1937394,0.4120043,-0.570046,0.4150015,0.5954728
90.11467,0.007534971,0.1937394,0.4120043,-0.570046,0.4150015,0.5954728
90.12803,0.007362802,0.2022046,0.4157777,-0.56353,0.4238893,0.5931807
90.14235,0.007367708,0.2106106,0.4185275,-0.5565085,0.4328009,0.5906482
90.15643,0.007367708,0.2106106,0.4185275,-0.5565085,0.4328009,0.5906482
