Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
89.76653,0.009357265,0.2216142,0.2462604,0.5114349,0.0002226036,0.0005049009
89.78233,0.009357265,0.2216142,0.2462604,0.5114349,0.0002226036,0.0005049009
89.79408,0.009357265,0.2216142,0.2462604,0.5114349,0.0002226036,0.0005049009
89.8073,0.009357265,0.2216142,0.2462604,0.5114349,0.0002226036,0.0005049009
89.82243,0.009357265,0.2216142,0.2462604,0.5114349,0.0002226036,0.0005049009
89.83592,0.009357265,0.2216142,0.2462604,0.5114349,0.0002226036,0.0005049009
89.84924,0.009357264,0.2216142,0.2462604,0.5114349,0.0002226036,0.000504901
89.86372,0.009357265,0.2216142,0.2462604,0.5114349,0.0002226036,0.0005049009
89.87767,0.009357265,0.2216142,0.2462604,0.5114349,0.0002226036,0.0005049009
89.89099,0.009357265,0.2216142,0.2462604,0.5114349,0.0002226036,0.0005049009
89.90542,0.009357265,0.2216142,0.2462604,0.5114349,0.0002226036,0.0005049009
89.91961,0.009357265,0.2216142,0.2462604,0.5114349,0.0002226036,0.0005049009
89.93285,0.009344241,0.2232456,0.2483334,0.5130008,-0.000148306,0.002021348
89.94733,0.009244671,0.2249782,0.2497397,0.5158908,-0.0009806039,0.003462442
89.96144,0.009236066,0.2266438,0.2507168,0.5191998,-0.002063228,0.004626632
89.97521,0.009236066,0.2266438,0.2507168,0.5191998,-0.002063228,0.004626632
89.98861,0.009207414,0.2299898,0.2534823,0.5243444,-0.003642336,0.007278433
90.00307,0.00915747,0.2333028,0.2553186,0.5306717,-0.005689002,0.00964155
90.01702,0.00915747,0.2333028,0.2553186,0.5306717,-0.005689002,0.00964155
90.03045,0.009246039,0.2363724,0.2565575,0.5370824,-0.007897697,0.01154822
90.04491,0.009430461,0.2391082,0.2574116,0.5430527,-0.01006529,0.01306988
90.05898,0.009430461,0.2391082,0.2574116,0.5430527,-0.01006529,0.01306988
90.07214,0.009562437,0.2433894,0.2599933,0.5502233,-0.01253236,0.01619687
90.08662,0.009656556,0.2474803,0.2616393,0.5580937,-0.01527032,0.01896335
90.10072,0.009873138,0.2511925,0.2626927,0.5656945,-0.01797938,0.02120624
90.11467,0.009873138,0.2511925,0.2626927,0.5656945,-0.01797938,0.02120624
90.12803,0.01006915,0.2564222,0.2652671,0.5744067,-0.02096601,0.02506338
90.14235,0.01024226,0.2613522,0.266813,0.5836303,-0.02414044,0.0284428
90.15643,0.01024226,0.2613522,0.266813,0.5836303,-0.02414044,0.0284428
90.16965,0.01054137,0.2657876,0.26772,0.5923811,-0.02717171,0.03119311
90.18417,0.01090138,0.2696666,0.2682388,0.60024,-0.02989792,0.03342979
90.1983,0.01090138,0.2696666,0.2682388,0.60024,-0.02989792,0.03342979
90.21136,0.01120377,0.2750564,0.2702885,0.6088288,-0.03274718,0.03745982
90.22589,0.01142935,0.2800727,0.2713893,0.6177377,-0.03567636,0.04102427
90.24001,0.01174976,0.2845476,0.2719193,0.6261055,-0.03838632,0.04394032
90.25378,0.01174976,0.2845476,0.2719193,0.6261055,-0.03838632,0.04394032
90.2672,0.01206718,0.2905616,0.2737786,0.6352517,-0.0412268,0.04863863
90.28155,0.01231287,0.2961267,0.2746265,0.64467,-0.04410297,0.0527727
90.29552,0.01231287,0.2961267,0.2746265,0.64467,-0.04410297,0.0527727
90.30902,0.01265108,0.30107,0.2748847,0.6534733,-0.04669861,0.05616494
90.3233,0.01301574,0.3053538,0.2748229,0.6613,-0.04890741,0.05895519
90.33747,0.01301574,0.3053538,0.2748229,0.6613,-0.04890741,0.05895519
90.35079,0.01336057,0.3112189,0.2761086,0.6696504,-0.05117054,0.06370056
90.36522,0.01358061,0.3165991,0.2764846,0.6781981,-0.05344458,0.06792234
90.37917,0.01358061,0.3165991,0.2764846,0.6781981,-0.05344458,0.06792234
90.39249,0.01386839,0.3213493,0.2763539,0.6861635,-0.0554428,0.07140055
90.40709,0.01420241,0.3277144,0.2773607,0.6947284,-0.05748985,0.07678872
90.42098,0.01441098,0.3335253,0.2774076,0.70348,-0.05950541,0.08156143
90.4349,0.01441098,0.3335253,0.2774076,0.70348,-0.05950541,0.08156143
90.44833,0.01468034,0.3386352,0.2769413,0.711615,-0.06120449,0.08550414
90.46272,0.01495384,0.3430298,0.276246,0.718811,-0.06253793,0.08877103
90.47691,0.01495384,0.3430298,0.276246,0.718811,-0.06253793,0.08877103
90.49008,0.01527265,0.3490968,0.276704,0.7263899,-0.06388155,0.09410215
90.50453,0.01541901,0.3545918,0.2763127,0.7341184,-0.06520907,0.09887782
90.51856,0.01541901,0.3545918,0.2763127,0.7341184,-0.06520907,0.09887782
90.53191,0.01560669,0.359397,0.2754942,0.7412955,-0.06626483,0.1028356
90.54639,0.01590426,0.3658947,0.2756088,0.7489246,-0.06728418,0.1087826
90.5605,0.01602128,0.3717492,0.2748325,0.7566988,-0.06823347,0.1140907
90.5743,0.01602128,0.3717492,0.2748325,0.7566988,-0.06823347,0.1140907
90.5876,0.01616684,0.3768453,0.2736341,0.7639015,-0.06888359,0.1185012
90.60213,0.01630385,0.3811941,0.2723057,0.7702457,-0.06924371,0.1221729
90.61608,0.01630385,0.3811941,0.2723057,0.7702457,-0.06924371,0.1221729
90.62938,0.01656454,0.3872975,0.2719216,0.776843,-0.06954715,0.1279627
90.64386,0.01660434,0.3927529,0.2707604,0.7835612,-0.06981682,0.1331909
90.65772,0.01660434,0.3927529,0.2707604,0.7835612,-0.06981682,0.1331909
90.671,0.01665783,0.397474,0.2692615,0.7897853,-0.06985455,0.1375475
90.68565,0.01688827,0.403951,0.2684795,0.7963157,-0.06974153,0.1439215
90.69955,0.01688827,0.403951,0.2684795,0.7963157,-0.06974153,0.1439215
90.71286,0.01688103,0.4097024,0.266888,0.80296,-0.0695326,0.1496592
90.72727,0.01687204,0.414653,0.2649739,0.8090983,-0.06908034,0.154454
90.74129,0.01685064,0.4188421,0.2630353,0.8144814,-0.06845182,0.1584577
90.75522,0.01685064,0.4188421,0.2630353,0.8144814,-0.06845182,0.1584577
90.76853,0.01703062,0.4248514,0.2618188,0.8199857,-0.06765744,0.164572
90.783,0.01694066,0.4301416,0.2599075,0.8255866,-0.06681476,0.1701439
90.79694,0.01694066,0.4301416,0.2599075,0.8255866,-0.06681476,0.1701439
90.81029,0.01683813,0.4346661,0.2577549,0.8307629,-0.06581037,0.1748146
90.82477,0.01697349,0.4409891,0.256095,0.8360967,-0.06450269,0.1814726
90.83878,0.01697349,0.4409891,0.256095,0.8360967,-0.06450269,0.1814726
90.85201,0.01681699,0.4465107,0.2537179,0.8415146,-0.06308661,0.1875243
90.86678,0.01663322,0.451203,0.2511256,0.8465041,-0.06152026,0.1926111
90.88053,0.01644269,0.4551367,0.2486146,0.8508586,-0.05992003,0.1968658
90.89448,0.01644269,0.4551367,0.2486146,0.8508586,-0.05992003,0.1968658
90.90773,0.01652181,0.4609328,0.2465941,0.8552005,-0.05798921,0.2031614
90.92209,0.01628543,0.4659454,0.2439693,0.8596106,-0.05600443,0.2089604
90.93617,0.01628543,0.4659454,0.2439693,0.8596106,-0.05600443,0.2089604
90.94952,0.01601491,0.4701744,0.2412067,0.8636756,-0.05395999,0.2138535
90.96405,0.01602958,0.4762217,0.238706,0.8677465,-0.05141344,0.2206466
90.97809,0.01602958,0.4762217,0.238706,0.8677465,-0.05141344,0.2206466
90.99136,0.01570654,0.4814001,0.2355911,0.8718696,-0.04876849,0.2268899
91.00563,0.01533896,0.4857356,0.2323739,0.8756538,-0.04610222,0.2321683
91.01974,0.01533896,0.4857356,0.2323739,0.8756538,-0.04610222,0.2321683
91.03321,0.01526897,0.4918401,0.2293183,0.8793316,-0.04282704,0.2392422
91.04752,0.01484538,0.4970054,0.2257111,0.8830042,-0.03947106,0.2457528
91.06161,0.01437379,0.501291,0.2220716,0.8863435,-0.0361711,0.2512682
91.07539,0.01437379,0.501291,0.2220716,0.8863435,-0.0361711,0.2512682
91.08877,0.01391898,0.504819,0.2186823,0.8892178,-0.03308839,0.2558816
91.10332,0.01379354,0.5102016,0.2154475,0.8918517,-0.02934066,0.2623084
91.1172,0.01379354,0.5102016,0.2154475,0.8918517,-0.02934066,0.2623084
91.13053,0.01330774,0.5146992,0.2117705,0.8944819,-0.02558262,0.2683264
91.14501,0.01277473,0.5183961,0.2081267,0.8968802,-0.02197626,0.2734515
91.15903,0.01277473,0.5183961,0.2081267,0.8968802,-0.02197626,0.2734515
91.17237,0.01255224,0.5238746,0.2044139,0.8990418,-0.01750246,0.2802433
91.18663,0.01195725,0.5283898,0.2002628,0.901194,-0.0130117,0.2865931
91.20091,0.01131466,0.5320635,0.196189,0.9031441,-0.008739931,0.2920072
91.21465,0.01131466,0.5320635,0.196189,0.9031441,-0.008739931,0.2920072
91.22802,0.01071032,0.5350448,0.1924537,0.9048051,-0.00485072,0.2965357
91.24267,0.01043133,0.5398703,0.1886236,0.9061042,3.038123E-06,0.3026988
