Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
11.92814,0.008544089,0.2308539,0.243624,0.5163095,-0.004259587,0.002350642
11.94328,0.00854409,0.2308539,0.243624,0.5163095,-0.004259577,0.002350641
11.95749,0.00854409,0.2308539,0.243624,0.5163095,-0.004259577,0.002350641
11.97044,0.008561601,0.230944,0.2448132,0.5171318,-0.004198906,0.002249399
11.982,0.008586657,0.230588,0.2451691,0.5185942,-0.004031788,0.002153037
11.99571,0.008586657,0.230588,0.2451691,0.5185942,-0.004031788,0.002153037
12.00944,0.00862227,0.2301609,0.2453293,0.5198777,-0.003816306,0.002047569
12.02428,0.008751143,0.2297093,0.2454839,0.5206667,-0.003596919,0.00182475
12.03808,0.008751143,0.2297093,0.2454839,0.5206667,-0.003596919,0.00182475
12.05339,0.009006025,0.2291859,0.2456306,0.5209384,-0.003390469,0.001445897
12.06707,0.009170586,0.2285931,0.2457487,0.5208268,-0.003124999,0.001181578
12.07937,0.009170586,0.2285931,0.2457487,0.5208268,-0.003124999,0.001181578
12.0929,0.008608694,0.229938,0.2483108,0.5202496,-0.002062457,0.002125853
12.10731,0.007822202,0.2310328,0.2504235,0.5198608,-0.0006481831,0.003249567
12.1214,0.007019639,0.2318792,0.2521952,0.5194209,0.0008602586,0.004326341
12.13549,0.007019639,0.2318792,0.2521952,0.5194209,0.0008602586,0.004326341
12.14862,0.006276107,0.2325111,0.2537039,0.5188554,0.002335434,0.005286976
12.16366,0.004728482,0.2352104,0.2577136,0.5180535,0.004514185,0.007456937
12.17744,0.004728482,0.2352104,0.2577136,0.5180535,0.004514185,0.007456937
12.19066,0.003046072,0.2375612,0.2609545,0.5178638,0.00692008,0.009644162
12.20518,0.001472529,0.2395818,0.2635909,0.5179723,0.009285465,0.01161622
12.21934,0.001472529,0.2395818,0.2635909,0.5179723,0.009285465,0.01161622
12.23286,-0.0008950262,0.2435363,0.2684334,0.5180871,0.01231081,0.01468533
12.24727,-0.003298664,0.2470032,0.2722885,0.5188167,0.01547637,0.01764059
12.26119,-0.005501049,0.249994,0.2753878,0.5197619,0.01849444,0.02027811
12.27496,-0.005501049,0.249994,0.2753878,0.5197619,0.01849444,0.02027811
