Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
165.5081,-0.01190979,0.09094715,0.8342749,0.228348,0.2761368,0.4060995
165.5235,-0.0119058,0.09087661,0.8342683,0.2282912,0.276132,0.40616
165.5365,-0.011888,0.09081283,0.8342673,0.2282416,0.2761002,0.4061851
165.5496,-0.01185898,0.09074935,0.8342626,0.2282061,0.2760469,0.4061837
165.5642,-0.0118298,0.09068167,0.8342546,0.2281577,0.2760105,0.4061904
165.5784,-0.01179303,0.09062451,0.8342474,0.2281428,0.276004,0.4061646
165.5916,-0.01175769,0.09058161,0.8342368,0.2281276,0.2760108,0.4061458
165.6067,-0.01171853,0.09054001,0.8342223,0.228097,0.2759999,0.4061311
165.6204,-0.01182428,0.09062162,0.8342336,0.2281344,0.2759941,0.4061841
165.6342,-0.01182432,0.09062169,0.8342332,0.2281259,0.2759944,0.4061844
165.6471,-0.01182466,0.09062158,0.8342334,0.2281275,0.2759953,0.4061915
165.6617,-0.0118252,0.09062155,0.8342336,0.2281289,0.2759976,0.4061989
165.6759,-0.01182473,0.09062171,0.8342339,0.2281332,0.2759902,0.4061953
165.6904,-0.01182552,0.09062172,0.8342335,0.2281279,0.275996,0.4062089
165.7074,-0.01182673,0.09062172,0.8342332,0.2281083,0.2759984,0.4062261
165.7169,-0.01182593,0.0906214,0.8342327,0.2280969,0.2759913,0.4062138
165.7289,-0.01182541,0.09062108,0.8342326,0.2280834,0.2759637,0.4062142
165.7433,-0.01182573,0.09062089,0.834233,0.228084,0.2759537,0.4062318
165.7578,-0.01182508,0.09062099,0.8342336,0.2281167,0.2759578,0.406209
165.7708,-0.01187659,0.09059657,0.8342355,0.226839,0.2753087,0.4073694
165.7853,-0.01193249,0.0905664,0.8342317,0.226864,0.2751189,0.4075987
165.7995,-0.01202812,0.09062263,0.8342246,0.2267583,0.2749112,0.4078926
165.8128,-0.01212123,0.09069878,0.834219,0.226562,0.2747159,0.4080619
165.8275,-0.01223926,0.09080617,0.8342262,0.2262433,0.2745836,0.4083492
165.8415,-0.01244997,0.09095539,0.8342615,0.225677,0.2743918,0.4090284
165.8552,-0.01281276,0.09117147,0.8343046,0.2246632,0.2741112,0.4100352
165.8687,-0.01352092,0.09153257,0.8343468,0.2226102,0.2734728,0.4116553
165.8829,-0.01419782,0.09183595,0.834357,0.2205027,0.2726595,0.4130529
165.897,-0.01489257,0.09214813,0.8343326,0.2181786,0.2717163,0.4146813
165.9104,-0.01570163,0.09254797,0.8343177,0.2153333,0.270731,0.4169726
165.9248,-0.01654659,0.09297322,0.8342863,0.2123123,0.2700077,0.4189659
165.939,-0.01741242,0.09344034,0.8342365,0.2091917,0.2692108,0.4209281
165.9521,-0.01832866,0.09392983,0.8341612,0.205643,0.2685261,0.4229409
165.9674,-0.01927059,0.09439445,0.8340181,0.2026635,0.2682318,0.4251031
165.9809,-0.02027547,0.09486826,0.833874,0.1997822,0.268232,0.4277164
165.9947,-0.02142957,0.095342,0.8336772,0.1967156,0.2680792,0.4305618
166.008,-0.0226318,0.09586479,0.8334974,0.1935575,0.2677809,0.4329699
166.0226,-0.02392481,0.09639543,0.8333035,0.1899631,0.2669875,0.435494
166.0365,-0.02519693,0.09692611,0.8331172,0.1862845,0.266159,0.437928
166.0513,-0.02652514,0.09747505,0.8329476,0.1824557,0.2653842,0.4409243
166.0644,-0.02788516,0.09802724,0.8327755,0.178685,0.264785,0.4439122
166.0784,-0.02928095,0.09854849,0.832583,0.1750045,0.2642971,0.4466918
166.0916,-0.03066945,0.09907342,0.832401,0.1715534,0.2636774,0.4493716
166.106,-0.03207695,0.09959191,0.8322272,0.1681099,0.2630036,0.4520122
166.1201,-0.03344843,0.1001354,0.8320641,0.1644868,0.2624229,0.4548196
166.1339,-0.03489523,0.1006986,0.8319162,0.1607637,0.2618933,0.4578447
166.1474,-0.03631242,0.1012601,0.8317618,0.1567616,0.2611875,0.4604584
166.1617,-0.03763488,0.1018043,0.8316294,0.1529203,0.2603293,0.4626009
166.1757,-0.03898468,0.1023306,0.831516,0.1490306,0.2596174,0.4651498
166.1892,-0.04043914,0.1029023,0.8313671,0.1449353,0.258966,0.468123
166.2036,-0.04175184,0.1036157,0.8312049,0.1405852,0.2583966,0.4705535
166.2177,-0.043024,0.1044169,0.8309979,0.1359951,0.2585632,0.4731899
166.2311,-0.04431032,0.1053188,0.8307757,0.1307065,0.2592909,0.4763236
166.2455,-0.04559445,0.1062517,0.8305075,0.1254526,0.2601812,0.4789928
166.2595,-0.04692088,0.1072779,0.8302367,0.1195039,0.2609857,0.4820009
166.2728,-0.04829747,0.1082421,0.8299283,0.1135098,0.2619576,0.4849429
166.2874,-0.04969766,0.1092551,0.8296046,0.1074169,0.2624421,0.4882475
166.3013,-0.05126335,0.1104501,0.8292339,0.1001448,0.26373,0.4932748
166.3152,-0.05285655,0.1116595,0.8287297,0.09257232,0.2649292,0.497169
166.3287,-0.05439175,0.1129451,0.8281967,0.08481487,0.2659872,0.5006791
166.343,-0.05601539,0.1143436,0.827541,0.07608067,0.2676156,0.5041494
166.3571,-0.05764353,0.1156616,0.8268858,0.06724273,0.2693307,0.5079786
166.3705,-0.05933286,0.1169459,0.8261707,0.05826177,0.2707145,0.5118734
166.3849,-0.06090543,0.1183705,0.825475,0.04911724,0.2722962,0.5160965
166.3989,-0.06245901,0.1197628,0.8247249,0.04005487,0.2748457,0.5200196
166.4123,-0.06384496,0.1210533,0.8239855,0.03178384,0.2770456,0.5227904
166.4268,-0.0651987,0.1222783,0.8233138,0.02376931,0.2796995,0.5261198
166.4406,-0.06658527,0.1233334,0.8227036,0.01643751,0.2825838,0.5305219
166.4546,-0.06769185,0.1244611,0.8221512,0.010287,0.2857638,0.5340355
166.468,-0.06896042,0.1254493,0.8215836,0.003706022,0.2883521,0.53763
166.4824,-0.07003249,0.1264636,0.8210889,-0.002087899,0.2915052,0.5407582
166.4967,-0.07113685,0.1273771,0.8205735,-0.008142934,0.2950498,0.5443701
166.5099,-0.0721786,0.1282688,0.8201338,-0.01364113,0.2977751,0.5480255
166.5244,-0.07310866,0.1292127,0.8196888,-0.01886686,0.3013317,0.5513081
166.5382,-0.07405268,0.1301083,0.8192239,-0.02424491,0.3052547,0.5543727
166.5517,-0.07504675,0.1309763,0.8187802,-0.02919023,0.3077169,0.5571796
166.5662,-0.07612278,0.1319083,0.8183203,-0.03492454,0.3105636,0.560441
166.5801,-0.07724392,0.1327944,0.8177978,-0.04121708,0.3130192,0.5637792
166.5941,-0.07830757,0.1338567,0.8172672,-0.04790926,0.315327,0.5668908
166.6073,-0.07935832,0.134975,0.8166882,-0.05491578,0.3180616,0.569878
166.6219,-0.08039059,0.136145,0.8161132,-0.0619235,0.321111,0.5724786
166.636,-0.0814615,0.1373346,0.8154911,-0.06894805,0.3243452,0.5747233
166.6493,-0.08252113,0.1385532,0.8148416,-0.07624737,0.327334,0.5770527
166.6638,-0.08366075,0.139764,0.8142098,-0.08372,0.3303502,0.5795154
166.6777,-0.08471963,0.1409594,0.8135396,-0.09102697,0.3329116,0.5814686
166.6911,-0.08569185,0.1422316,0.8129011,-0.0980888,0.3354746,0.5835879
166.7056,-0.08667644,0.143514,0.8123053,-0.1051379,0.3391154,0.5860977
166.7195,-0.08760246,0.144887,0.8116542,-0.1122812,0.3431759,0.5889769
166.7329,-0.08856732,0.1463199,0.8109788,-0.1196977,0.3479153,0.592092
166.7473,-0.0895368,0.1478486,0.8101816,-0.1276404,0.3526093,0.5946501
166.7615,-0.09053905,0.1492483,0.8094027,-0.1352593,0.3567419,0.5955761
166.7755,-0.09150752,0.1505585,0.8086061,-0.1427033,0.3587414,0.5947385
166.7886,-0.0924352,0.1518227,0.8079397,-0.1494581,0.3610057,0.5950856
166.8031,-0.09363095,0.1529253,0.8072255,-0.1598025,0.3664353,0.596286
166.8171,-0.09411451,0.1546006,0.8068722,-0.1624412,0.3678981,0.5987406
166.8305,-0.09507626,0.1556751,0.8061348,-0.1699143,0.3739527,0.6020263
166.8452,-0.09572482,0.1572667,0.8054734,-0.1764643,0.3798489,0.6050541
166.8591,-0.09649158,0.1588505,0.8046769,-0.1833763,0.3868563,0.6060846
166.8721,-0.09731141,0.1602754,0.8037591,-0.1915215,0.3925775,0.6051241
