Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
99.11819,0.01043546,0.1579623,0.3855382,-0.6013091,0.3671231,0.6079351
99.13224,0.01047867,0.1581932,0.38684,-0.601079,0.367515,0.6076109
99.1457,0.01054505,0.1580337,0.3874158,-0.6007584,0.368147,0.6070506
99.15955,0.01054505,0.1580337,0.3874158,-0.6007584,0.368147,0.6070506
99.17268,0.0105995,0.1577487,0.3877449,-0.6005404,0.3686901,0.6064945
99.18993,0.01062715,0.157298,0.3879645,-0.6005272,0.3689554,0.6060878
99.20355,0.01063509,0.1566544,0.3880955,-0.60072,0.3689212,0.6058547
99.21564,0.01063509,0.1566544,0.3880955,-0.60072,0.3689212,0.6058547
99.22791,0.01070465,0.1558409,0.3881401,-0.6010786,0.3685912,0.6057662
99.24263,0.01075847,0.1549226,0.3881129,-0.6015429,0.368108,0.6057743
99.25632,0.01075847,0.1549226,0.3881129,-0.6015429,0.368108,0.6057743
99.26962,0.01122842,0.1551861,0.3900768,-0.6020911,0.3675911,0.6059462
99.28408,0.01155089,0.1552338,0.3916897,-0.6026045,0.3671149,0.6061869
99.29813,0.01155089,0.1552338,0.3916897,-0.6026045,0.3671149,0.6061869
99.31142,0.01172634,0.1551223,0.3930369,-0.6031035,0.366657,0.6064919
99.32609,0.01179119,0.1549177,0.394167,-0.6035748,0.3662302,0.6068254
99.34123,0.01214595,0.156044,0.3973592,-0.6040037,0.3660975,0.6072305
99.35381,0.01214595,0.156044,0.3973592,-0.6040037,0.3660975,0.6072305
99.36709,0.01242644,0.1571488,0.4000239,-0.6041247,0.3663024,0.607506
99.38167,0.01268648,0.1581588,0.4022469,-0.6040758,0.3666323,0.6077231
99.39578,0.01268648,0.1581588,0.4022469,-0.6040758,0.3666323,0.6077231
99.40935,0.01321287,0.1603476,0.406359,-0.6039364,0.3673849,0.607998
99.4236,0.0136639,0.1623994,0.4097806,-0.6035081,0.3683904,0.608165
99.43744,0.0136639,0.1623994,0.4097806,-0.6035081,0.3683904,0.608165
99.45081,0.01409217,0.1642306,0.4126262,-0.6029654,0.3694127,0.6082909
99.46535,0.01449016,0.1658188,0.4149942,-0.6024043,0.3703597,0.6084014
