Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
133.7027,0.0337722,-0.2321987,0.841283,0.3998707,-0.8308186,0.1714013
133.7184,0.03374939,-0.2321898,0.8413153,0.3998133,-0.8308097,0.171424
133.7296,0.0337253,-0.2321837,0.8413571,0.3997808,-0.8307838,0.1713954
133.7439,0.0337035,-0.2321739,0.841404,0.3997859,-0.8307443,0.1713812
133.7581,0.03367257,-0.2321597,0.8414692,0.3997917,-0.8306766,0.1713532
133.7714,0.03364873,-0.2321495,0.8415214,0.3997743,-0.8306441,0.1713251
133.7861,0.03362359,-0.2321383,0.8415704,0.3997539,-0.8306191,0.1713219
133.7999,0.03359443,-0.2321314,0.8416252,0.3997043,-0.8306012,0.17134
133.8132,0.0335675,-0.2321298,0.8416743,0.3996746,-0.8305746,0.1713729
133.8279,0.03354035,-0.2321317,0.8417263,0.3996882,-0.8305233,0.1713815
133.8418,0.03352214,-0.2321271,0.8417679,0.3997149,-0.8304878,0.1713449
133.8557,0.03350293,-0.2321209,0.8418176,0.3997604,-0.8304431,0.1712949
133.8692,0.03349275,-0.2321193,0.8418515,0.3997795,-0.8304183,0.1712935
133.8835,0.03348056,-0.2321126,0.8418922,0.3997789,-0.8303956,0.1713107
133.8976,0.03346718,-0.2321061,0.841931,0.3997719,-0.8303847,0.1713137
133.9109,0.03344505,-0.2320946,0.841977,0.3997664,-0.8303596,0.1712923
133.9255,0.03341978,-0.2320829,0.842023,0.3997813,-0.8303286,0.1712586
133.9392,0.03339735,-0.2320666,0.8420637,0.3997669,-0.8302976,0.1712558
133.9527,0.03337655,-0.2320412,0.8421009,0.3997085,-0.8302774,0.1712784
133.967,0.03335639,-0.232026,0.8421296,0.3996808,-0.8302557,0.1712816
133.9809,0.03333375,-0.2320198,0.8421561,0.3997105,-0.8302193,0.1712498
133.9949,0.03331403,-0.2320286,0.8421776,0.3997683,-0.8301666,0.1712137
134.0083,0.03330362,-0.232056,0.8422005,0.3998457,-0.8301119,0.1711626
134.0226,0.03329257,-0.2320836,0.8422194,0.3999354,-0.830054,0.1711262
134.0368,0.03328111,-0.232148,0.8422244,0.4000245,-0.8300003,0.1710907
134.0502,0.0332672,-0.2322057,0.8422228,0.4000925,-0.829962,0.1710508
134.0647,0.03325047,-0.2322574,0.8422189,0.4001301,-0.8299387,0.1710111
134.0789,0.03322963,-0.232313,0.8422112,0.4001485,-0.8299101,0.1710001
134.092,0.03320826,-0.2323684,0.8422037,0.4001463,-0.8298889,0.1710096
134.1063,0.03318822,-0.2324174,0.8421951,0.4001455,-0.8298689,0.171011
134.1203,0.03317025,-0.2324606,0.8421861,0.4001485,-0.8298526,0.1710416
134.1343,0.03315738,-0.2325059,0.8421745,0.4001811,-0.8298365,0.1710505
134.1473,0.03314228,-0.2325338,0.8421766,0.4002755,-0.8297948,0.1710235
134.1619,0.03313283,-0.2325609,0.8421831,0.4003868,-0.8297409,0.1709857
134.1759,0.03312064,-0.2325903,0.8422085,0.4005246,-0.8296651,0.1709537
134.1892,0.03311107,-0.2326158,0.8422264,0.4006054,-0.8296168,0.1709798
134.2039,0.0331055,-0.2326529,0.8422387,0.4006512,-0.829595,0.1710258
134.2177,0.03309117,-0.2326988,0.842258,0.4007353,-0.8295536,0.171065
134.2312,0.03307359,-0.2327415,0.8422793,0.4007985,-0.8295184,0.1710583
134.2456,0.03304528,-0.2328185,0.8423145,0.4008726,-0.8294598,0.1710544
134.2595,0.03301906,-0.2328904,0.8423508,0.4009212,-0.8293981,0.1710628
134.273,0.03299512,-0.2329419,0.8423892,0.4009735,-0.8293254,0.1711033
134.2874,0.03296449,-0.2330134,0.8424392,0.401072,-0.8292179,0.1711618
134.3012,0.03293836,-0.2330803,0.8424786,0.4011632,-0.8291444,0.1712077
134.3151,0.03290821,-0.2331503,0.8425151,0.4012829,-0.8290735,0.1712634
134.3286,0.03287932,-0.233228,0.8425475,0.4013917,-0.8290085,0.1713382
134.3432,0.03285212,-0.2333314,0.8425792,0.4015084,-0.8289325,0.1714116
134.357,0.03282106,-0.2334388,0.8426157,0.4016486,-0.8288413,0.1715016
134.3704,0.03279038,-0.2335389,0.8426589,0.401782,-0.8287582,0.1715384
134.3847,0.03275011,-0.2336284,0.8427063,0.4019641,-0.8286551,0.1715449
134.3989,0.03270993,-0.2337167,0.8427505,0.4021272,-0.8285633,0.1715409
134.4123,0.03266985,-0.2338018,0.8427894,0.4022715,-0.8284828,0.1715574
134.4266,0.03262877,-0.2338964,0.8428313,0.4024184,-0.8283846,0.1716184
134.4406,0.03258567,-0.234018,0.8428943,0.4025728,-0.8282886,0.1716685
134.4546,0.03254339,-0.2341494,0.8429614,0.4027913,-0.8281575,0.17173
134.4681,0.03250846,-0.2342838,0.8430188,0.4030167,-0.8280277,0.1717366
134.4825,0.03247492,-0.2344137,0.8430638,0.403284,-0.82789,0.1717058
134.4965,0.03244224,-0.2345408,0.8431035,0.4035577,-0.8277637,0.1716805
134.5098,0.03242205,-0.234632,0.8431317,0.4037271,-0.8276774,0.1717261
134.5242,0.03240103,-0.2347412,0.8431573,0.4039113,-0.8275805,0.1718466
134.5382,0.03238225,-0.2348284,0.8431953,0.4040886,-0.8274896,0.1719456
134.5516,0.03236555,-0.2349042,0.8432327,0.4042411,-0.8274279,0.1720089
134.5661,0.03234264,-0.2349914,0.8432685,0.4044265,-0.827368,0.1720435
134.5799,0.03231734,-0.2350857,0.8432961,0.4045479,-0.8273193,0.1721072
134.5934,0.03229128,-0.2351804,0.8433263,0.4046105,-0.8272676,0.1722297
134.6079,0.03227066,-0.2352545,0.8433576,0.4046381,-0.8272256,0.1723718
134.622,0.03224556,-0.2353493,0.8433967,0.4046565,-0.8271785,0.1725842
134.636,0.03222567,-0.2354333,0.8434395,0.4046823,-0.8271347,0.1727934
134.649,0.03220981,-0.2355,0.8434776,0.4046941,-0.8271033,0.1729504
134.6636,0.0321888,-0.2355942,0.8435235,0.4046686,-0.8270656,0.1732291
134.6776,0.03217218,-0.235679,0.8435535,0.4046144,-0.8270531,0.1734717
134.6911,0.03215294,-0.2357672,0.843587,0.4045217,-0.8270388,0.1737115
